@relation Cities_Above_90_Without_PM10_attributesremoved

@attribute PM2.5 numeric
@attribute NO numeric
@attribute NO2 numeric
@attribute NOx numeric
@attribute NH3 numeric
@attribute CO numeric
@attribute SO2 numeric
@attribute O3 numeric
@attribute AQI numeric

@data
31.21,7.2,1.27,10.65,25.63,0.56,4.22,2.81,52
38.39,7.19,0.91,10.37,29.16,0.57,4.46,0.18,60
43.23,7.14,1.07,10.48,28.95,0.57,4.53,0.41,62
33.82,7.09,0.36,9.73,28.41,0.48,4.63,0.3,70
27.14,5.63,2.32,8.09,23.98,0.5,4.71,13.02,54
27.32,3.07,2.14,3.41,24.57,0.48,4.84,6.03,40
31.76,3,1.48,5.24,23.42,0.47,5.04,8.76,51
43.8,2.97,1.31,4.97,23.41,0.48,5.3,9.96,63
35.48,3.01,0.83,4.64,24.85,0.49,5.32,6.43,69
51.27,3.01,0.88,4.62,24.44,0.49,5.63,8.62,70
33.24,2.93,0.13,3.65,18.55,0.37,5.41,5.64,71
35.34,2.98,0.16,3.71,20.24,0.32,5.63,5.73,53
47.34,2.96,0.14,3.66,20.21,0.37,6.17,5.59,66
53.64,2.96,0.17,3.77,25.43,0.44,6.75,6.44,92
54.9,2.96,0.13,3.69,25.48,0.42,6.8,5.87,89
44.64,2.94,0.11,3.59,28.26,0.4,7.34,6.42,82
51.33,2.92,0.35,3.89,29.89,0.44,7.69,8.76,71
34.54,2.93,0.13,3.64,28.47,0.36,7.8,7.99,81
39.47,2.93,0.24,3.79,29.05,0.42,7.67,7.4,60
27.27,2.95,0.25,3.8,30.99,0.4,7.9,6.74,51
38.6,2.98,0.26,3.94,32.95,0.45,8.11,6.12,62
36.22,2.93,0.25,3.86,32.94,0.4,8.36,9.24,64
30.35,2.9,0.21,3.75,23.37,0.29,8.25,10.87,54
24.05,2.97,0.25,3.79,21.6,0.26,8.16,11.09,43
26.47,2.96,0.08,3.5,26,0.31,8.79,5.76,44
35.13,2.96,0.15,3.69,25.1,0.31,8.49,7.94,48
33.19,2.92,0.3,3.85,22.71,0.3,8.78,13.38,61
24.92,2.97,0.18,3.74,23.73,0.27,8.69,9.67,45
39.15,3.32,0.31,4.47,22.95,0.39,7.81,7.66,59
38.01,4.41,0.13,5.7,27.97,0.41,4.52,5.62,64
30.06,4.37,0.17,5.74,30,0.37,4.77,6.71,55
21.7,4.33,0.12,5.6,26.24,0.27,4.54,8.47,41
28.33,6.24,0.39,8.44,28.53,0.36,5.3,10.16,42
46.26,10.26,0.45,14.04,31.28,0.47,5.66,2.97,64
40.72,11.4,0.51,15.65,30.38,0.42,5.71,0.72,76
22.63,11.4,0.33,15.49,23.59,0.28,5.52,0.79,49
15.06,11.4,0.36,15.51,14.87,0.22,5.43,2.46,33
19.5,11.44,0.25,15.38,17.65,0.25,6.06,1.17,31
10.48,11.44,0.11,15.2,19.03,0.22,6.4,1.27,24
11.79,11.47,0.95,16.08,19.13,0.25,6.79,8.71,24
9.53,11.54,0.75,15.94,16.64,0.27,6.62,7.67,23
8.53,11.47,0.34,15.48,15.61,0.24,6.61,1.3,20
10.42,11.56,0.26,15.49,16.78,0.26,6.96,1.75,19
5.74,11.53,0.34,15.57,12.4,0.21,6.79,1.16,19
3.14,11.51,0.2,14.68,17.91,0.18,7.47,0.55,19
1.97,11.54,0.13,15.25,12.44,0.18,6.98,1.78,18
5.4,11.62,0.27,15.57,17.69,0.25,7.21,0.22,19
3.55,11.7,0.18,15.6,17.07,0.26,6.97,?,19
3.85,11.6,0.17,15.4,15.28,0.21,7.23,?,19
4.49,11.7,0.3,15.65,14.49,0.24,6.6,1.55,19
7.92,11.68,0.35,15.71,18.21,0.3,6.47,1.61,20
8.24,11.6,0.23,15.48,16.69,0.28,6.46,0.1,20
5.48,11.53,0.08,15.15,14.56,0.19,6.42,0.07,19
6.32,11.56,0.22,15.43,15.74,0.23,6.93,0.41,19
10.16,11.58,0.25,15.58,18.64,0.27,7.6,0.12,19
6.15,13.16,0.63,16.56,15.26,0.24,7.36,2.82,20
3.93,11.51,0.18,15.43,19.43,0.27,8.04,0.19,20
13.61,11.52,0.49,15.75,22.37,0.32,8.51,2.66,20
13.29,11.54,0.34,15.65,27.89,0.37,8.6,0.24,24
16.09,11.47,0.09,15.21,32.66,0.31,8.61,0.06,24
25.35,11.55,0.69,15.98,29.77,0.39,8.87,7.63,35
27.97,11.51,0.44,15.73,29.94,0.42,8.91,0.18,46
23.72,11.51,0.6,15.86,21.17,0.37,8.41,1.74,46
21.05,11.46,0.65,15.85,23.68,0.32,9.08,7.27,33
14.82,11.65,0.35,15.83,23.19,0.31,9.06,0.05,31
8.3,11.6,0.29,15.67,22.47,0.27,9.19,?,21
12.42,11.49,0.12,15.26,25.82,0.23,9.84,0.04,20
17.92,11.55,0.56,15.89,28.94,0.38,10.05,4.03,26
18.83,11.59,0.48,15.9,25.16,0.36,9.84,1.16,32
6.53,11.81,0.51,16.12,17.62,0.31,9.81,0.44,24
8.97,11.41,0.34,15.53,13.24,0.21,10.1,2.88,20
14.67,11.48,0.36,15.59,11.35,0.25,9.92,1.07,22
16.13,11.49,0.27,15.52,16.11,0.25,10.88,0.28,22
13.4,11.38,0.09,15.1,15.75,0.19,11.19,0.68,27
9.72,11.49,0.28,15.49,14.45,0.19,11.14,1.77,20
9.03,11.57,0.42,15.65,12.13,0.22,11.09,2.5,19
1.96,15.59,0.62,20.63,16.72,0.21,11.13,4.82,21
3.47,11.6,0.35,15.67,19.71,0.24,11.89,2.67,21
3.62,11.59,0.47,15.72,12.68,0.24,11.24,1.98,20
3.43,11.61,0.21,15.46,12.93,0.22,11.38,0.24,20
3.68,11.54,0.08,15.13,12.87,0.17,11.58,0.1,19
4.52,12.06,0.59,15.89,12.84,0.22,11.83,3.37,19
3.96,11.74,0.21,15.7,13.28,0.24,12.13,?,20
2.33,11.68,0.29,15.65,14.43,0.24,12.24,2.76,20
2.17,11.64,0.22,15.57,16.06,0.19,12.61,2.8,19
2.49,20.36,0.7,25.15,25.23,0.24,12.97,3.3,31
2.81,11.75,0.15,15.62,18.88,0.21,12.82,?,20
5.2,11.58,0.09,15.25,19.16,0.18,12.16,?,19
14.44,11.79,0.76,16.31,22.38,0.41,13,0.87,25
10.08,11.62,0.13,15.49,24.75,0.33,13.48,?,23
1.54,11.77,0.1,15.52,21.4,0.22,13.44,?,19
0.99,11.67,0.25,15.53,21.22,0.2,11.92,3.6,19
1.4,11.65,0.07,15.31,22.03,0.17,8.11,4.35,19
0.98,11.63,0.07,15.17,24.59,0.16,8.82,3.77,19
1.19,11.66,0.07,15.3,24.48,0.17,8.52,4.17,19
1.14,11.83,0.37,15.85,20.36,0.17,8.62,4.86,19
?,13.01,0.33,15.57,19.46,0.16,5.65,4.5,20
1.25,11.7,0.22,15.6,24.03,0.15,1.76,2,20
5.92,11.74,0.26,15.74,36.73,0.2,2.84,1.58,20
2.46,11.74,0.08,15.47,34.12,0.22,2.39,?,19
2.63,11.55,0.06,15.15,29.9,0.15,2.33,0.34,19
2.88,11.74,0.32,15.79,29.98,0.16,1.91,1.79,20
2.76,11.61,0.38,15.67,25.38,0.05,0.95,2.6,20
8.62,11.57,0.14,15.41,25.57,0.07,1.08,1.84,25
7.98,11.57,0.16,15.5,23.4,0.05,1.03,1.76,33
1.39,11.8,0.18,15.71,22.46,0.03,1.24,1.08,21
0.16,11.69,0.07,15.41,22.42,0.02,1.08,1.29,19
0.24,11.56,0.05,15.14,25.45,0.02,1.38,1.4,19
0.28,12.04,0.13,15.96,28.73,0.12,2.03,0.95,20
1.89,11.91,0.1,15.75,28.68,0.11,2.23,1.16,20
4.49,11.44,0.07,15.11,19.41,0.02,2.07,3.39,20
81.4,1.44,20.5,12.08,10.72,0.12,15.24,127.09,184
78.32,1.26,26,14.85,10.28,0.14,26.96,117.44,197
88.76,6.6,30.85,21.77,12.91,0.11,33.59,111.81,198
64.18,2.56,28.07,17.01,11.42,0.09,19,138.18,188
72.47,5.23,23.2,16.59,12.25,0.16,10.55,109.74,173
69.8,4.69,20.17,14.54,10.95,0.12,14.07,118.09,165
73.96,4.58,19.29,13.97,10.95,0.1,13.9,123.8,191
89.9,7.71,26.19,19.87,13.12,0.1,19.37,128.73,191
87.14,0.97,21.31,12.12,14.36,0.15,11.41,114.8,227
84.64,4.02,26.98,17.58,14.41,0.18,9.84,112.41,168
88.36,3.7,20.23,13.75,13.72,0.12,14.02,117.93,198
96.83,1.6,25.65,14.99,15.12,0.11,16.54,117.21,201
117.46,4.26,41.1,25.32,17.34,0.13,28.79,94.63,252
122.88,5.56,54.87,33.71,17.96,0.27,22.97,68.6,310
74.28,6.1,44.97,28.88,15.73,0.09,21.9,60.62,196
50.32,1.73,33.85,19.41,12.56,0.1,13.65,68.15,132
58.47,4.93,41.64,26.15,15.2,0.16,18.37,73.75,147
89.35,7.97,42.1,28.88,21.24,0.24,7.42,44.67,179
64.42,7.2,34.78,24.36,17.63,0.15,5.81,50.16,145
69.4,5.81,29.97,20.67,19.34,0.14,5.8,55,115
71.07,4.19,25,16.7,16,0.1,8.33,79.04,140
79.76,8.77,40.92,28.84,15.56,0.17,8.51,73.17,156
108.06,7.29,47.05,30.94,18.52,0.08,16.05,70.74,225
100.75,7.63,53.94,33.45,18.49,0.11,14.05,59.2,251
106.25,2.74,43.09,21.78,19.66,0.13,15.45,66.9,228
83.79,6.77,47.47,30.74,17.37,0.3,13.35,77.54,223
79.98,7.02,49.55,32.07,17.28,0.14,13.58,79.71,170
76.27,7.51,56,35.9,19.53,0.15,29.88,56.97,165
86.5,5.24,42,26.6,20.78,0.15,11.85,73.09,159
100.62,3.75,47.68,28.41,23.68,0.22,10.85,62.78,232
110.73,1.69,31.06,17.89,21.66,0.1,12.23,76.07,242
107.7,4.97,43.54,27.2,22.52,0.17,18.07,64.6,274
104.81,9.59,63.48,41.57,21.06,0.23,17.01,63.87,259
89.95,10.95,64.53,43.23,18.87,0.27,15.52,62.49,225
74.58,6.14,46.65,29.81,18.2,0.17,9.47,67.11,177
56.68,4.6,33.26,21.44,16.86,0.1,8.26,66.91,120
61.03,5.51,39.5,25.49,17.82,0.08,11.45,61.91,120
59.03,3.45,23.36,15.23,18.03,0.09,26.05,87.55,120
61.88,3.87,23.14,15.45,19.57,0.09,12.81,81.38,132
71.57,5.01,39.99,25.36,25.61,0.09,16.82,80.3,136
92.44,5.84,53.79,33.36,19.45,0.11,16.93,71.09,182
92.9,6.38,56.39,35.19,21.02,0.08,23.11,68.79,222
85.15,11.05,61.55,41.72,18.71,0.07,11.86,90.8,230
81.47,6.45,46.9,30.18,20.18,0.07,9.63,96.49,224
81.58,3.97,34.93,21.81,21.59,0.09,12.81,118.91,217
79.56,4.44,37.58,23.6,17.71,0.05,17.77,137.61,230
87.43,3.9,37.31,23.02,22.35,0.1,13.4,121.72,229
87.33,3.95,42.52,25.82,23.66,0.08,35.39,106.17,229
110.39,4.54,52.24,31.49,24.74,0.04,36.01,82.2,235
77.51,3.85,36.41,22.49,20.06,0.05,14.36,72.16,214
86.96,3.65,28.32,18.03,21.23,0.05,4.83,62.6,186
76.29,2.96,21.35,13.75,20.38,0.05,8.75,69.99,172
67.06,3.22,20.25,13.29,18.78,0.06,4.7,54.92,138
68.34,3.71,26.26,16.99,20.29,0.06,6.43,45.63,125
66.28,7.36,45.13,29.99,21.68,0.05,7.21,45.97,132
64.98,6.98,45.4,29.83,21.32,0.06,8.83,50.28,111
75.46,9.56,56.53,37.84,21.88,0.13,30.48,51.98,137
81.58,4.99,38.15,24.35,19.33,0.05,11.04,59.76,172
78.27,5.98,45.36,29.01,19.12,0.06,10.32,58.53,160
79.01,6.16,45.43,29.17,20.29,0.06,10.18,58.04,163
77.98,5.09,44.96,28.04,21.11,0.06,7.22,50.69,165
77.96,8.4,59.92,38.7,23.45,0.06,31.01,40.77,139
79.04,6.19,43.61,28.23,26,0.08,8.67,45.46,176
77.78,6.1,43.84,28.33,26.3,0.09,7.62,43.26,162
76.48,4.06,33.37,21.04,22.05,0.06,7.49,45.71,160
74.2,4.3,35.82,22.55,20.24,0.07,12.16,53,142
78.23,5.36,45.76,28.7,21.73,0.05,12.45,45.35,172
68.53,8.28,61.52,39.46,19.74,0.04,23.68,37.99,134
62.08,10.08,62.18,41.29,19.42,0.05,8.97,34.93,136
50.64,6.48,45.52,29.49,19.89,0.07,10.61,40.57,130
44.21,3.63,34.37,21.23,23.31,0.07,5.86,31.73,111
50.71,7.91,35.16,25.13,11.19,0.06,8.16,32.58,117
42.27,4.95,30.69,20.33,13.4,0.66,8.99,32.18,102
39.41,3.21,28.53,17.83,17.9,0.81,5.86,28.72,108
50.56,6.93,37.27,25.44,11.05,0.97,5.25,23.36,99
50.54,2.91,26.96,16.74,13.02,0.9,17.9,36.66,121
26.22,2.24,20.1,12.54,12.32,0.61,8.25,23.74,86
31.83,2.76,16.83,11.14,11.9,0.61,5.87,24.72,57
70.26,0.4,11.87,6.57,13.05,0.62,7.29,31.4,107
59.47,0.54,12.85,7.18,11.94,0.68,7.62,30.57,118
58.71,0.41,13.88,7.62,11.99,0.86,6.89,36.2,110
56.29,0.25,16.71,9.02,10.89,0.95,12.91,48.39,114
50.41,1.68,25.6,15.01,20.24,0.69,11.81,33.46,111
57.53,1.94,25.03,14.88,33.72,0.78,25.39,31.15,117
43.82,1.45,16.01,9.45,22.52,0.67,17.62,27.62,107
42.71,15.9,17.35,22.25,24.68,0.49,9.53,30.68,87
54.73,3.49,12.79,9.73,22.79,0.58,8.21,30.21,89
50.91,4.55,16.33,12.39,23.18,0.64,10.34,26.24,97
38.5,4.5,16.82,12.69,19.54,0.58,11.02,26.62,100
32.21,7.39,17.33,15.32,18.13,0.6,11.81,24.84,105
35.36,6.13,17.75,14.52,16.57,0.85,10.87,23.99,114
59.65,8.21,19.14,16.94,20.46,0.7,10.82,21.64,116
46.16,11.52,17.19,18.59,16.35,?,9.18,16.94,116
34.31,9.19,20.85,18.66,15.88,?,13.97,16.28,98
39.52,19.35,21.18,27,18.5,0.81,15.02,18.8,116
43.08,5.34,19.02,14.54,22.46,0.79,22.7,25.64,108
38.1,7.1,22.21,17.68,19.27,0.79,13.89,22.73,100
33.08,5.37,18.83,14.38,14.52,0.72,8.98,23.63,92
29.7,4.45,17.33,13.01,12.72,0.65,9.71,29.26,80
38.67,4.45,22.81,15.74,12.41,0.66,12.63,22.9,88
30.04,11.58,24.74,22.65,12.52,0.78,8.98,17.81,83
39.72,19.66,26.29,30.06,14.03,0.81,9.68,17.53,100
38.21,5.71,19.03,14.85,14.15,0.75,8.03,22.81,81
58.31,11.93,28.85,25.14,14,1.03,10.21,22.24,112
62.49,8.08,22.65,18.7,16.53,0.91,12.68,26.26,113
49.04,5.75,19.92,15.26,14.09,0.64,6.82,26.52,105
41.67,2.74,13.08,9.19,13.51,0.78,8.35,30.38,88
32.44,6.01,19.07,15.02,12.65,0.68,7.75,21.52,78
26.43,10.73,20.82,19.8,11.64,0.72,9.43,16.52,78
25.08,7.17,15.22,13.94,14.1,0.56,8.63,13.8,69
26.09,4.9,10.42,9.51,10.74,0.58,11.33,21.38,60
16.62,4.9,8.18,8.43,11.53,0.58,6.37,12.68,51
49.58,4.98,19.05,14.27,13.47,0.7,12.47,20.32,61
43.52,6.41,20.43,16.16,13.75,0.8,10.57,23.36,90
39.83,4.63,14.37,11.5,13.34,0.7,8.89,23.13,74
36.89,6.62,18.83,15.39,13.96,0.57,7.04,13.58,76
52.69,4.69,14.44,11.58,15.35,0.59,16.81,19.03,92
46.48,4.35,14.79,11.5,15.02,0.6,15.55,21.04,93
44.22,3.56,8.53,7.52,14.58,0.73,9.61,23.87,88
35.91,2.94,6.99,6.19,13.53,0.67,3.69,27.58,75
39.05,3.43,9.86,8.11,10.94,0.68,7.26,23.74,79
30.21,5.11,11.29,10.25,11.24,0.58,13.19,20.89,74
31.14,4.25,10.36,9.05,11.8,0.83,14.42,20.99,62
26.82,3.63,7.68,7.14,11.54,0.69,13.63,23.6,53
26.34,3.49,8.43,7.41,9.3,0.57,18.83,23.6,53
28.48,3.06,6.86,6.23,10.49,0.64,12.97,24.19,55
21.83,2.69,5.28,5.09,7.53,0.55,8.3,23.34,52
24.23,4.32,14.33,11.23,8.17,0.56,9.95,23.86,55
22.29,4.38,11.27,9.64,10.88,0.67,8.08,19.63,56
25.28,4.93,9.65,9.24,12.44,0.72,8.7,19.64,56
19.68,2.06,6.63,5.2,8.44,0.69,5.86,14.34,52
24.4,5.01,10.84,9.84,10.27,0.74,7.4,13.13,76
20.05,4.17,13.54,10.69,9.77,0.65,10.35,34.29,76
23.72,4.18,8.86,8.18,10.54,0.81,6.71,19.29,81
26.12,4.8,11.71,10.14,9.83,0.5,6.88,14.32,59
7.16,3.86,5.22,5.99,8.62,0.59,6.62,14.29,46
7.97,4.26,6.48,7,8.66,0.61,6.01,11.52,40
6.48,2.39,3.54,3.83,8.32,0.47,5.97,11.63,33
7.2,3.7,5.73,6.14,7.23,0.5,7.01,18.9,49
8.27,3.72,5.86,6.14,6.04,0.53,6.69,7.51,32
9.21,2.67,3.26,3.9,6.59,0.44,6.91,11.95,42
19.78,3,4.9,5.14,6.3,0.66,7.64,23.67,53
8.85,2.7,3.86,4.26,5.01,0.36,5.44,20.73,47
18.48,3.36,12.71,9.5,6.68,0.76,7.38,17.57,79
11.04,3.76,5.11,5.87,6.78,0.48,6.21,16.31,47
9.74,3.94,4.84,5.87,5.66,0.66,7.51,12.65,51
10.35,3.51,5.55,5.81,4.43,1.01,5.38,7.55,52
22.81,3.12,6.96,6.33,5.76,0.8,7.09,34.26,88
28.54,4.29,22.75,15.68,8.96,0.85,7.28,32.62,78
18.46,3.59,14.17,10.55,12.76,0.49,6.37,30.3,90
23.9,4.65,26.74,18.01,12.69,0.56,6.01,12.46,43
14.42,3.41,6.9,6.44,7.77,0.43,9.19,35.44,55
12.42,4.47,10.28,9.11,4.63,0.51,5.82,36.88,52
